ID,Flight Number,Origin Airport,Origin Code,Destination Airport,Destination Code,Departing Date,Departing Time,Duration,Distance,Time Zone Difference,Arrival Date,Arrival Time,Flight Type, Surcharge,Food Served,Route Cost,Miner Points,Total Seats,First Class Seats,Business Class Seats,Main Cabin Seats,First Class Price,Business Class Price,Main Cabin Price,First Class Seats Sold,Business Class Seats Sold,Main Cabin Seats Sold,Total First Class Revenue,Total Business Class Revenue,Total Main Cabin Revenue,
1,2311,El Paso International Airport,ELP,Dallas/Ft. Worth International Airport,DFW,2/21/2023,5:30 AM,94,551,1,2/21/2023,8:04 AM,Domestic,0,FALSE,13961,1102,162,12,64,86,2910,1167,338,0,0,0,0,0,0,0
2,2322,El Paso International Airport,ELP,Dallas/Ft. Worth International Airport,DFW,2/21/2023,8:25 AM,94,551,1,2/21/2023,10:59 AM,Domestic,0,FALSE,13961,1102,146,13,47,86,1808,1173,176,0,0,0,0,0,0,0
3,2333,El Paso International Airport,ELP,Dallas/Ft. Worth International Airport,DFW,2/21/2023,12:10 PM,94,551,1,2/21/2023,2:44 PM,Domestic,0,FALSE,13961,1102,167,14,61,92,2778,1071,289,0,0,0,0,0,0,0
4,2344,El Paso International Airport,ELP,Dallas/Ft. Worth International Airport,DFW,2/21/2023,3:05 PM,94,551,1,2/21/2023,5:39 PM,Domestic,0,FALSE,13961,1102,158,8,51,99,3144,1058,538,0,0,0,0,0,0,0
5,2355,El Paso International Airport,ELP,Dallas/Ft. Worth International Airport,DFW,2/21/2023,6:50 PM,94,551,1,2/21/2023,9:24 PM,Domestic,0,FALSE,13961,1102,145,15,43,87,2490,1059,501,0,0,0,0,0,0,0
6,2366,El Paso International Airport,ELP,Dallas/Ft. Worth International Airport,DFW,2/21/2023,9:45 PM,94,551,1,2/22/2023,12:19 AM,Domestic,0,FALSE,13961,1102,167,13,53,101,1270,742,444,0,0,0,0,0,0,0
7,2377,El Paso International Airport,ELP,Dallas/Ft. Worth International Airport,DFW,2/22/2023,1:30 AM,94,551,1,2/22/2023,4:04 AM,Domestic,0,FALSE,13961,1102,174,15,62,97,2752,1165,264,0,0,0,0,0,0,0
8,2388,Dallas/Ft. Worth International Airport,DFW,El Paso International Airport,ELP,2/21/2023,5:30 AM,94,551,-1,2/21/2023,6:04 AM,Domestic,0,FALSE,19933,1102,151,14,50,87,2818,632,357,0,0,0,0,0,0,0
9,2309,Dallas/Ft. Worth International Airport,DFW,El Paso International Airport,ELP,2/21/2023,8:25 AM,94,551,-1,2/21/2023,8:59 AM,Domestic,0,FALSE,19933,1102,145,8,42,95,1529,882,136,0,0,0,0,0,0,0
10,23110,Dallas/Ft. Worth International Airport,DFW,El Paso International Airport,ELP,2/21/2023,12:10 PM,94,551,-1,2/21/2023,12:44 PM,Domestic,0,FALSE,19933,1102,173,14,56,103,1233,586,523,0,0,0,0,0,0,0
11,23211,Dallas/Ft. Worth International Airport,DFW,El Paso International Airport,ELP,2/21/2023,3:05 PM,94,551,-1,2/21/2023,3:39 PM,Domestic,0,FALSE,19933,1102,153,8,60,85,2273,1141,160,0,0,0,0,0,0,0
12,23312,El Paso International Airport,ELP,Los Angeles International Airport,LAX,2/21/2023,5:30 AM,113,714,-1,2/21/2023,6:23 AM,Domestic,0,FALSE,14219,1428,150,13,45,92,2232,638,444,0,0,0,0,0,0,0
13,23413,El Paso International Airport,ELP,Los Angeles International Airport,LAX,2/21/2023,8:25 AM,113,714,-1,2/21/2023,9:18 AM,Domestic,0,FALSE,14219,1428,161,11,49,101,2941,911,255,0,0,0,0,0,0,0
14,23514,El Paso International Airport,ELP,Los Angeles International Airport,LAX,2/21/2023,12:10 PM,113,714,-1,2/21/2023,1:03 PM,Domestic,0,FALSE,14219,1428,171,10,59,102,3024,882,547,0,0,0,0,0,0,0
15,23615,El Paso International Airport,ELP,Los Angeles International Airport,LAX,2/21/2023,3:05 PM,113,714,-1,2/21/2023,3:58 PM,Domestic,0,FALSE,14219,1428,156,11,58,87,2285,1151,305,0,0,0,0,0,0,0
16,23716,El Paso International Airport,ELP,Los Angeles International Airport,LAX,2/21/2023,6:50 PM,113,714,-1,2/21/2023,7:43 PM,Domestic,0,FALSE,14219,1428,157,8,58,91,1719,604,259,0,0,0,0,0,0,0
