ID,Flight Number,Origin Airport,Origin Code,Destination Airport,Destination Code,Departing Date,Departing Time,Duration,Distance,Time Zone Difference,Arrival Date,Arrival Time,Total Seats,First Class Seats,Business Class Seats,Main Cabin Seats,First Class Price,Business Class Price,Main Cabin Price
1,FN,El Paso International Airport,ELP,Dallas/Ft. Worth International Airport,DFW,1/3/23,5:00 AM,94,551,1,1/3/23,7:34 AM,170,8,59,103,2096,1084,452
2,FN,El Paso International Airport,ELP,Dallas/Ft. Worth International Airport,DFW,1/3/23,6:45 AM,94,551,1,1/3/23,9:19 AM,155,10,42,103,2774,991,299
3,FN,El Paso International Airport,ELP,Dallas/Ft. Worth International Airport,DFW,1/3/23,8:50 AM,94,551,1,1/3/23,11:24 AM,167,11,55,101,1797,627,460
4,FN,El Paso International Airport,ELP,Dallas/Ft. Worth International Airport,DFW,1/3/23,10:35 AM,94,551,1,1/3/23,1:09 PM,160,14,51,95,1308,1130,130
5,FN,El Paso International Airport,ELP,Dallas/Ft. Worth International Airport,DFW,1/3/23,12:40 PM,94,551,1,1/3/23,3:14 PM,153,11,49,93,1529,1005,154
6,FN,El Paso International Airport,ELP,Dallas/Ft. Worth International Airport,DFW,1/3/23,2:25 PM,94,551,1,1/3/23,4:59 PM,163,14,45,104,3256,1150,448
7,FN,El Paso International Airport,ELP,Dallas/Ft. Worth International Airport,DFW,1/3/23,4:30 PM,94,551,1,1/3/23,7:04 PM,151,14,47,90,1848,834,388
8,FN,El Paso International Airport,ELP,Dallas/Ft. Worth International Airport,DFW,1/3/23,6:15 PM,94,551,1,1/3/23,8:49 PM,155,9,44,102,2006,1026,275
9,FN,El Paso International Airport,ELP,Dallas/Ft. Worth International Airport,DFW,1/3/23,8:20 PM,94,551,1,1/3/23,10:54 PM,136,8,43,85,3212,1058,349
10,FN,Dallas/Ft. Worth International Airport,DFW,El Paso International Airport,ELP,1/3/23,5:00 AM,94,551,-1,1/3/23,5:34 AM,164,12,52,100,1899,582,127
11,FN,Dallas/Ft. Worth International Airport,DFW,El Paso International Airport,ELP,1/3/23,6:45 AM,94,551,-1,1/3/23,7:19 AM,155,12,46,97,1365,809,507
12,FN,Dallas/Ft. Worth International Airport,DFW,El Paso International Airport,ELP,1/3/23,8:50 AM,94,551,-1,1/3/23,9:24 AM,169,13,55,101,2665,884,479
13,FN,Dallas/Ft. Worth International Airport,DFW,El Paso International Airport,ELP,1/3/23,10:35 AM,94,551,-1,1/3/23,11:09 AM,153,9,45,99,1738,968,215
14,FN,Dallas/Ft. Worth International Airport,DFW,El Paso International Airport,ELP,1/3/23,12:40 PM,94,551,-1,1/3/23,1:14 PM,164,9,53,102,3299,1100,212
15,FN,Dallas/Ft. Worth International Airport,DFW,El Paso International Airport,ELP,1/3/23,2:25 PM,94,551,-1,1/3/23,2:59 PM,161,12,61,88,1386,1000,329
16,FN,Dallas/Ft. Worth International Airport,DFW,El Paso International Airport,ELP,1/3/23,4:30 PM,94,551,-1,1/3/23,5:04 PM,145,9,51,85,1657,1175,208
17,FN,Dallas/Ft. Worth International Airport,DFW,El Paso International Airport,ELP,1/3/23,6:15 PM,94,551,-1,1/3/23,6:49 PM,165,8,63,94,2044,765,258
18,FN,Dallas/Ft. Worth International Airport,DFW,El Paso International Airport,ELP,1/3/23,8:20 PM,94,551,-1,1/3/23,8:54 PM,155,13,56,86,3369,1084,317
